Oviposition,River_Available,Act_velocity_m_s,act_depth_m,act_substrate
1,NORTH FORK FEATHER,0.09,0.28,5
1,NORTH FORK FEATHER,0.1,0.28,5
1,NORTH FORK FEATHER,0.19,0.28,7
1,NORTH FORK FEATHER,0.01,0.28,7
1,NORTH FORK FEATHER,0,0.28,4
1,NORTH FORK FEATHER,0.13,0.3,5
1,NORTH FORK FEATHER,0.01,0.3,7
1,NORTH FORK FEATHER,0.02,0.3,6
1,NORTH FORK FEATHER,0.09,0.3,5
1,NORTH FORK FEATHER,0.11,0.3,5
1,NORTH FORK FEATHER,0.01,0.31,6
1,NORTH FORK FEATHER,0,0.31,7
1,NORTH FORK FEATHER,0.17,0.31,6
1,NORTH FORK FEATHER,0.08,0.32,6
1,NORTH FORK FEATHER,0.01,0.33,6
1,NORTH FORK FEATHER,0.02,0.34,5
1,NORTH FORK FEATHER,0.12,0.34,5
1,NORTH FORK FEATHER,0.02,0.35,7
1,NORTH FORK FEATHER,0.03,0.36,6
1,NORTH FORK FEATHER,0.01,0.36,7
1,NORTH FORK FEATHER,0.19,0.36,6
1,NORTH FORK FEATHER,0.01,0.36,6
1,NORTH FORK FEATHER,0.01,0.36,6
1,NORTH FORK FEATHER,0.02,0.38,7
1,NORTH FORK FEATHER,0.01,0.38,5
1,NORTH FORK FEATHER,0.01,0.38,7
1,NORTH FORK FEATHER,0.01,0.39,6
1,NORTH FORK FEATHER,0,0.4,6
1,NORTH FORK FEATHER,0,0.4,6
1,NORTH FORK FEATHER,0.04,0.4,5
1,NORTH FORK FEATHER,0.04,0.41,7
1,NORTH FORK FEATHER,0.01,0.41,5
1,NORTH FORK FEATHER,0,0.42,6
1,NORTH FORK FEATHER,0.12,0.46,5
1,NORTH FORK FEATHER,0.13,0.48,5
1,NORTH FORK FEATHER,0.08,0.5,5
1,NORTH FORK FEATHER,0.15,0.5,4
1,NORTH FORK FEATHER,0.16,0.5,6
1,NORTH FORK FEATHER,0.05,0.52,7
1,RUBICON,0.04,0.12,4
1,RUBICON,0.03,0.18,4
1,RUBICON,0.13,0.2,7
1,RUBICON,0,0.2,7
1,RUBICON,0.03,0.24,7
1,RUBICON,0.01,0.26,7
1,RUBICON,0.03,0.27,6
1,RUBICON,0.15,0.3,7
1,RUBICON,0,0.3,7
1,RUBICON,0.01,0.3,6
1,RUBICON,0.04,0.3,6
1,RUBICON,0.04,0.32,7
1,RUBICON,0.05,0.33,6
1,RUBICON,0.03,0.34,7
1,RUBICON,0.01,0.34,6
1,RUBICON,0.05,0.36,6
1,RUBICON,0.08,0.4,5
1,RUBICON,0.03,0.44,7
1,RUBICON,0.21,0.45,7
1,RUBICON,0.03,0.48,7
1,RUBICON,0.01,0.56,7
1,RUBICON,0.07,0.58,6
1,RUBICON,0.14,0.59,7
1,RUBICON,0.01,0.6,6
1,SF AMERICAN,0.04,0.28,6
1,SF AMERICAN,0.12,0.38,5
1,SF AMERICAN,0.04,0.4,4
1,SF AMERICAN,0.17,0.45,4
1,SF AMERICAN,0.12,0.46,7
0,Available,0.19,0.54,5
0,Available,0,0.94,7
0,Available,0.77,0.64,7
0,Available,1.12,0.5,4
0,Available,0.19,0.25,7
0,Available,0.19,0.68,5
0,Available,0.87,0.54,6
0,Available,1.73,0.36,5
0,Available,0.42,0.21,5
0,Available,1.49,0.45,6
0,Available,0.01,0.77,5
0,Available,0.04,0.3,7
0,Available,0.08,0.5,4
0,Available,1.16,0.18,8
0,Available,0.99,0.38,7
0,Available,0.02,0.37,5
0,Available,0.12,0.8,7
0,Available,0.61,0.51,5
0,Available,1.01,0.52,5
0,Available,0.01,0.3,5
0,Available,0.01,0.32,3
0,Available,0.03,0.42,8
0,Available,1.02,0.4,7
0,Available,0.03,0.41,1
0,Available,0.98,0.76,8
0,Available,0.35,1.1,7
0,Available,0.97,0.5,6
0,Available,0.01,0.08,4
0,Available,0.52,0.54,5
0,Available,0,0.08,6
0,Available,0.63,0.72,7
0,Available,0.06,0.36,7
0,Available,0.1,0.19,4
0,Available,0.03,0.1,7
0,Available,0.78,0.92,8
0,Available,0.92,0.5,6
