Row,Site,Date,EggIDXSec,Meso_Type,Sub_Cat_8,Total_Depth,Mid_Velocity,Data_Type,Site_Code,SQRT_Velocity,Depth_Squared,Sub_Cont_8,Sub_Cat_6,Sub_Cont_6,velocity_plus_0005,Velocity_plus_005,SQRT_Vel005,Sub_Medians_Bldfix600,SubMedians_2,SubScoreBedadjusted,SubMedianBedadjusted,RandomSite,RandomDataType,RandomDepth,RandomSQRTVEL005,RandomDepthSqrd,RandomSubScoreBedADJ,Roughness_Sqyared,RandomSubBed_6,RandomSubBed6SQRD
1,NF AMERICAN,39974,5,RIFFLE,7,0.2,0.27,AVAILABLE,5,0.519615242,0.04,512,5,428,0.2705,0.275,0.524404424,428,183184,6,428,NF AMERICAN,Available,0.2,0.524404424,0.04,6,36,5,25
2,MF YUBA,39966,3,RUN,6,0.38,0.02,AVAILABLE,3,0.141421356,0.1444,334,5,428,0.0205,0.025,0.158113883,428,183184,6,428,MF YUBA,Available,0.38,0.158113883,0.1444,6,36,5,25
3,NF FEATHER,39966,7,RUN,6,0.02,0.02,AVAILABLE,6,0.141421356,0.0004,334,5,428,0.0205,0.025,0.158113883,428,183184,6,428,NF FEATHER,Available,0.02,0.158113883,0.0004,6,36,5,25
4,RUBICON,39962,11,RUN,4,0.3,0.39,AVAILABLE,7,0.6244998,0.09,96,4,160,0.3905,0.395,0.628490254,160,25600,5,160,RUBICON,Available,0.3,0.628490254,0.09,5,25,4,16
5,NF AMERICAN,39974,12,RAPID,5,0.23,0.55,AVAILABLE,5,0.741619849,0.0529,192,4,160,0.5505,0.555,0.744983221,160,25600,5,160,NF AMERICAN,Available,0.23,0.744983221,0.0529,5,25,4,16
6,MF YUBA,39966,3,RUN,3,0.2,0.36,AVAILABLE,3,0.6,0.04,31,3,32,0.3605,0.365,0.604152299,32,1024,3,32,MF YUBA,Available,0.2,0.604152299,0.04,3,9,3,9
7,NF AMERICAN,39974,7,RUN,8,0.07,0.06,AVAILABLE,5,0.244948974,0.0049,600,6,800,0.0605,0.065,0.254950976,600,360000,4,294,NF AMERICAN,Available,0.07,0.254950976,0.0049,4,16,6,36
8,NF AMERICAN,39974,7,RUN,5,0.42,0.41,AVAILABLE,5,0.640312424,0.1764,192,4,160,0.4105,0.415,0.644204936,160,25600,5,160,NF AMERICAN,Available,0.42,0.644204936,0.1764,5,25,4,16
9,NF AMERICAN,39974,3,RUN,4,0.5,1.12,AVAILABLE,5,1.058300524,0.25,96,4,160,1.1205,1.125,1.060660172,160,25600,5,160,NF AMERICAN,Available,0.5,1.060660172,0.25,5,25,4,16
10,RUBICON,39962,1,RIFFLE,5,0.38,0.62,AVAILABLE,7,0.787400787,0.1444,192,4,160,0.6205,0.625,0.790569415,160,25600,5,160,RUBICON,Available,0.38,0.790569415,0.1444,5,25,4,16
