id,datetime,baropressure,filename,site,airtemp
38,02/08/15 01:00 AM,27.66,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0038.JPG,NFY,5
39,02/08/15 02:00 AM,27.66,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0039.JPG,NFY,5
40,02/08/15 03:00 AM,27.65,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0040.JPG,NFY,5
41,02/08/15 04:00 AM,27.65,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0041.JPG,NFY,5
42,02/08/15 05:00 AM,27.65,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0042.JPG,NFY,5
43,02/08/15 06:00 AM,27.64,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0043.JPG,NFY,5
44,02/08/15 07:00 AM,27.64,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0044.JPG,NFY,5
45,02/08/15 08:00 AM,27.63,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0045.JPG,NFY,5
46,02/08/15 09:00 AM,27.63,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0046.JPG,NFY,5
47,02/08/15 10:00 AM,27.61,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0047.JPG,NFY,6
48,02/08/15 11:00 AM,27.63,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0048.JPG,NFY,6
49,02/08/15 12:00 PM,27.55,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0049.JPG,NFY,7
50,02/08/15 01:00 PM,27.53,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0050.JPG,NFY,7
51,02/08/15 02:00 PM,27.48,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0051.JPG,NFY,7
52,02/08/15 03:00 PM,27.49,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0052.JPG,NFY,8
53,02/08/15 04:00 PM,27.47,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0053.JPG,NFY,8
54,02/08/15 05:00 PM,27.49,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0054.JPG,NFY,7
55,02/08/15 06:00 PM,27.51,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0055.JPG,NFY,7
56,02/08/15 07:00 PM,27.51,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0056.JPG,NFY,7
57,02/08/15 08:00 PM,27.50,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0057.JPG,NFY,7
58,02/08/15 09:00 PM,27.51,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0058.JPG,NFY,7
59,02/08/15 10:00 PM,27.54,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0059.JPG,NFY,6
60,02/08/15 11:00 PM,27.57,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0060.JPG,NFY,6
61,02/09/15 12:00 AM,27.56,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0061.JPG,NFY,6
62,02/09/15 01:00 AM,27.57,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0062.JPG,NFY,6
63,02/09/15 02:00 AM,27.60,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0063.JPG,NFY,6
64,02/09/15 03:00 AM,27.61,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0064.JPG,NFY,6
65,02/09/15 04:00 AM,27.61,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0065.JPG,NFY,5
