yday,1998-W,1999-W,2000-AN,2001-D,2002-D,2003-AN,2004-BN,2005-AN,2006-W,2007-D,2008-C,Synthesis
302,223.1779999,117.854,81.86829998,51.14879999,75.72439998,87.13449998,52.02649999,130.1418,116.0986,53.78189999,52.02649999,99.13409997
303,214.4009999,112.5878,80.11289998,50.27109999,74.84669998,86.25679998,52.02649999,125.7533,115.2209,53.78189999,52.02649999,96.65819997
304,210.0124999,109.9547,79.23519998,50.27109999,73.09129998,84.50139998,51.14879999,122.2425,113.4655,52.90419999,51.14879999,94.87659997
305,202.1131999,107.3216,79.23519998,51.14879999,73.09129998,86.25679998,51.14879999,114.3432,111.7101,52.02649999,51.14879999,92.47929997
306,191.5807999,106.4439,78.35749998,52.90419999,70.45819998,101.1777,51.14879999,107.3216,109.9547,52.02649999,50.27109999,89.45319997
307,184.5591999,103.8108,77.47979998,52.02649999,69.58049998,123.1202,50.27109999,108.1993,109.9547,51.14879999,49.39339999,86.99039998
308,178.4152999,102.0554,76.60209998,50.27109999,69.58049998,99.42229997,51.14879999,108.1993,108.1993,50.27109999,48.51569999,84.77649998
309,170.5159999,100.3,73.09129998,49.39339999,69.58049998,90.64529997,47.63799999,108.1993,106.4439,48.51569999,47.63799999,82.33989998
310,164.3721,98.54459997,72.21359998,46.76029999,67.82509998,88.88989998,46.76029999,105.5662,106.4439,49.39339999,46.76029999,80.89889998
311,158.2282,99.42229997,70.45819998,46.76029999,66.06969998,88.01219998,45.88259999,102.9331,105.5662,50.27109999,46.76029999,79.10419998
312,152.962,99.42229997,69.58049998,46.76029999,66.06969998,86.25679998,48.51569999,100.3,104.6885,50.27109999,49.39339999,77.55839998
313,147.6958,99.42229997,68.70279998,45.88259999,64.31429998,83.62369998,47.63799999,99.42229997,103.8108,50.27109999,46.76029999,76.27459998
314,144.185,100.3,67.82509998,45.00489999,63.43659998,82.74599998,47.63799999,99.42229997,102.0554,49.39339999,45.88259999,74.83359998
315,141.5519,100.3,66.94739998,44.12719999,62.55889998,80.99059998,46.76029999,103.8108,99.42229997,48.51569999,45.00489999,73.24849998
316,138.0411,103.8108,66.94739998,44.12719999,61.68119998,79.23519998,45.88259999,95.91149997,96.78919997,47.63799999,45.00489999,71.84679998
317,134.5303,102.9331,66.06969998,43.24949999,60.80349998,78.35749998,45.00489999,97.66689997,96.78919997,47.63799999,44.12719999,71.20489998
318,131.8972,95.91149997,65.19199998,45.00489999,59.92579998,76.60209998,45.00489999,97.66689997,96.78919997,47.63799999,45.00489999,71.12629998
319,128.3864,94.15609997,64.31429998,44.12719999,59.92579998,76.60209998,44.12719999,97.66689997,95.03379997,47.63799999,44.12719999,69.29229998
320,132.7749,91.52299997,64.31429998,43.24949999,58.17039999,74.84669998,43.24949999,96.78919997,90.64529997,45.88259999,43.24949999,68.76829998
321,128.3864,90.64529997,63.43659998,43.24949999,59.04809998,72.21359998,41.49409999,95.91149997,89.76759997,45.88259999,42.37179999,68.50629998
322,123.9979,88.01219998,63.43659998,42.37179999,58.17039999,72.21359998,41.49409999,95.91149997,88.88989998,45.00489999,42.37179999,67.31419998
323,122.2425,87.13449998,62.55889998,41.49409999,54.65959999,71.33589998,41.49409999,93.27839997,88.01219998,45.00489999,41.49409999,67.23559998
324,121.3648,86.25679998,60.80349998,41.49409999,54.65959999,69.58049998,45.00489999,93.27839997,86.25679998,45.88259999,41.49409999,66.52819998
325,119.6094,85.37909998,60.80349998,41.49409999,52.90419999,70.45819998,41.49409999,94.15609997,86.25679998,46.76029999,41.49409999,66.56749998
326,118.7317,84.50139998,61.68119998,41.49409999,52.90419999,80.11289998,40.61639999,91.52299997,85.37909998,46.76029999,42.37179999,66.13519998
327,115.2209,83.62369998,62.55889998,39.73869999,53.78189999,88.01219998,40.61639999,88.88989998,84.50139998,46.76029999,42.37179999,64.28809998
328,111.7101,81.86829998,61.68119998,40.61639999,53.78189999,80.99059998,41.49409999,87.13449998,82.74599998,46.76029999,41.49409999,63.38419998
329,109.077,80.11289998,61.68119998,41.49409999,52.90419999,73.96899998,44.12719999,85.37909998,82.74599998,45.88259999,41.49409999,62.53269998
330,107.3216,80.11289998,60.80349998,41.49409999,52.90419999,71.33589998,44.12719999,83.62369998,81.86829998,45.88259999,40.61639999,62.17899998
331,106.4439,80.11289998,60.80349998,40.61639999,52.02649999,70.45819998,43.24949999,81.86829998,81.86829998,45.88259999,39.73869999,61.18339998
332,104.6885,82.74599998,59.92579998,41.49409999,52.02649999,69.58049998,40.61639999,81.86829998,80.99059998,45.00489999,39.73869999,58.87779998
333,104.6885,79.23519998,59.04809998,40.61639999,50.27109999,66.94739998,40.61639999,80.99059998,80.11289998,45.88259999,39.73869999,58.36689999
334,102.0554,76.60209998,59.04809998,40.61639999,50.27109999,66.06969998,39.73869999,77.47979998,78.35749998,45.00489999,39.73869999,57.93459999
335,100.3,73.96899998,60.80349998,40.61639999,49.39339999,65.19199998,38.86099999,75.72439998,78.35749998,45.00489999,38.86099999,57.69879999
336,98.54459997,74.84669998,60.80349998,40.61639999,48.51569999,66.06969998,38.86099999,74.84669998,77.47979998,45.00489999,37.98329999,58.62889998
337,97.66689997,73.96899998,66.94739998,40.61639999,47.63799999,66.94739998,38.86099999,73.96899998,76.60209998,44.12719999,37.98329999,58.99569998
338,95.91149997,73.96899998,88.88989998,40.61639999,46.76029999,65.19199998,37.98329999,73.09129998,75.72439998,44.12719999,37.98329999,56.88659999
339,95.03379997,71.33589998,98.54459997,39.73869999,47.63799999,64.31429998,37.10559999,72.21359998,75.72439998,44.12719999,37.98329999,56.10059999
340,96.78919997,70.45819998,81.86829998,39.73869999,53.78189999,65.19199998,36.22789999,71.33589998,75.72439998,44.12719999,37.98329999,55.93029999
341,114.3432,68.70279998,72.21359998,39.73869999,46.76029999,62.55889998,37.98329999,71.33589998,75.72439998,44.12719999,38.86099999,56.57219999
342,115.2209,67.82509998,68.70279998,38.86099999,45.88259999,61.68119998,38.86099999,71.33589998,74.84669998,45.00489999,38.86099999,55.61589999
343,105.5662,66.94739998,67.82509998,37.98329999,46.76029999,60.80349998,39.73869999,71.33589998,76.60209998,44.12719999,37.98329999,54.88229999
344,106.4439,68.70279998,66.06969998,37.10559999,47.63799999,61.68119998,39.73869999,71.33589998,74.84669998,43.24949999,37.98329999,55.13119999
345,105.5662,69.58049998,66.06969998,37.10559999,46.76029999,60.80349998,36.22789999,70.45819998,74.84669998,44.12719999,37.98329999,55.72069999
346,106.4439,69.58049998,66.06969998,37.10559999,45.00489999,61.68119998,35.35019999,70.45819998,74.84669998,44.12719999,37.10559999,56.15299999
347,102.0554,68.70279998,66.06969998,37.98329999,44.12719999,60.80349998,35.35019999,70.45819998,74.84669998,44.12719999,37.10559999,55.21503999
348,98.54459997,66.94739998,66.06969998,38.86099999,44.12719999,59.92579998,35.35019999,70.45819998,75.72439998,43.24949999,37.98329999,55.40629999
349,96.78919997,66.94739998,66.06969998,39.73869999,44.12719999,59.04809998,35.35019999,70.45819998,78.35749998,44.12719999,36.22789999,54.69889999
350,95.03379997,66.06969998,66.06969998,40.61639999,43.24949999,57.29269999,35.35019999,71.33589998,73.96899998,44.12719999,35.35019999,54.22729999
351,91.52299997,66.06969998,66.06969998,40.61639999,44.12719999,57.29269999,36.22789999,71.33589998,73.09129998,45.00489999,36.22789999,54.50239999
352,88.01219998,65.19199998,66.94739998,39.73869999,45.00489999,57.29269999,37.98329999,71.33589998,75.72439998,45.00489999,36.22789999,55.03949999
353,86.25679998,65.19199998,66.06969998,40.61639999,45.00489999,56.41499999,37.98329999,70.45819998,74.84669998,45.00489999,36.22789999,56.00889999
354,85.37909998,65.19199998,64.31429998,39.73869999,45.00489999,57.29269999,38.86099999,69.58049998,74.84669998,44.12719999,36.22789999,58.09179999
355,87.13449998,64.31429998,64.31429998,39.73869999,45.00489999,57.29269999,41.49409999,70.45819998,72.21359998,47.63799999,36.22789999,57.05689999
356,87.13449998,62.55889998,62.55889998,40.61639999,44.12719999,57.29269999,44.12719999,68.70279998,77.47979998,49.39339999,36.22789999,55.68139999
357,87.13449998,61.68119998,61.68119998,39.73869999,44.12719999,56.41499999,46.76029999,68.70279998,71.33589998,50.27109999,37.10559999,55.57659999
358,86.25679998,60.80349998,63.43659998,39.73869999,44.12719999,55.53729999,45.88259999,71.33589998,68.70279998,52.90419999,37.10559999,54.81679999
359,87.13449998,61.68119998,65.19199998,37.98329999,41.49409999,54.65959999,42.37179999,68.70279998,69.58049998,62.55889998,37.10559999,54.52859999
360,90.64529997,61.68119998,65.19199998,37.10559999,39.73869999,55.53729999,39.73869999,66.94739998,69.58049998,59.04809998,37.10559999,55.74689999
361,92.40069997,61.68119998,63.43659998,42.37179999,40.61639999,55.53729999,38.86099999,66.06969998,69.58049998,51.14879999,36.22789999,64.66799998
362,101.1777,59.92579998,62.55889998,46.76029999,40.61639999,55.53729999,38.86099999,67.82509998,69.58049998,49.39339999,37.10559999,59.55899998
363,108.1993,59.04809998,62.55889998,44.12719999,41.49409999,54.65959999,37.98329999,81.86829998,69.58049998,49.39339999,42.37179999,57.79049999
364,99.42229997,58.17039999,62.55889998,41.49409999,43.24949999,55.53729999,37.98329999,80.99059998,69.58049998,52.02649999,37.10559999,56.57219999
365,95.91149997,58.17039999,62.55889998,41.49409999,44.12719999,55.53729999,37.98329999,72.21359998,69.58049998,54.65959999,38.86099999,57.01759999
