yday,W-1998,W-1999,AN-2000,D-2001,D-2002,AN-2003,BN-2004,AN-2005,W-2006,D-2007,C-2008,Synthesis
182,4.094642468,3.755050266,3.871555332,3.845599528,3.992352321,3.90142916,3.850871852,4.724909781,4.341926644,3.546232008,3.568221002,4.004953734
183,4.057127237,3.684157473,3.813062307,3.790457317,4.029556302,3.95745108,3.824084762,4.56498165,4.49255017,3.584055623,3.479236631,3.989414705
184,4.004984864,3.634526893,3.772987936,3.813062307,4.079887775,3.911097921,3.824084762,4.463756529,4.354415455,3.597226593,3.426912096,3.990605294
185,4.116181912,3.616136593,3.824084762,3.772987936,4.153955703,3.818596228,3.730360023,4.411316677,5.106020627,3.550358932,3.385059169,4.02513668
186,4.163898064,3.580918531,3.966348515,3.597993342,4.244387664,3.790457317,3.724042454,4.36667546,5.352367584,3.559349561,3.387162661,4.022509644
187,4.119705368,3.604854834,4.064800419,3.457850935,4.253081421,3.778861879,3.850871852,4.354415455,5.1473748,3.559349561,3.484704906,4.008437541
188,4.101899588,3.613146672,4.130165775,3.365824151,4.101899588,3.730360023,3.906281002,4.297631856,4.856236399,3.576185146,3.540411221,4.024792242
189,4.079887775,3.604095911,4.041511773,3.319830341,4.094642468,3.669168798,3.934675761,4.23852844,4.686862478,3.730360023,3.566616735,4.030090218
190,4.037550301,3.704723817,3.983796169,3.441592932,4.083607059,3.724042454,3.845599528,4.324041248,4.666995634,3.688187694,3.569821431,3.990974137
191,4.000800457,3.742819007,3.99658972,3.381891482,4.105498847,3.829528647,3.886658932,4.438050133,4.541074353,3.665022033,3.530313403,3.948474401
192,3.992352321,3.695513978,3.961914585,3.296192763,4.094642468,3.866444086,3.911097921,4.631969958,4.502540575,3.634526893,3.459737931,3.958226
193,3.98808792,3.748962581,3.920628972,3.260363495,4.112639806,3.896541884,3.90142916,4.19286844,4.514335459,3.543743582,3.389259561,4.065039505
194,3.98808792,3.807482241,3.95745108,3.246255002,4.101899588,4.025523206,3.866444086,4.253081421,4.688366543,3.512267068,3.466300827,4.015651527
195,4.116181912,3.861293499,3.975129204,3.316337494,4.098280865,4.431466222,3.856102963,4.346950171,4.660762175,3.443526266,3.633074125,4.001439177
196,4.208437176,3.966348515,4.261663681,3.253987393,4.150608485,4.33431993,3.876627836,4.226653806,4.638476136,3.421946031,3.813062307,4.014019638
197,4.116181912,4.017383352,4.217607474,3.248842405,4.292222568,4.150608485,3.784684713,4.170445177,4.679291021,3.443526266,3.952957605,4.004430529
198,4.045449932,4.025523206,3.970753261,3.261631458,3.983796169,4.037550301,3.724042454,4.189710752,4.859734409,3.371222905,3.845599528,3.989370096
199,4.017383352,4.101899588,3.845599528,3.316337494,3.866444086,3.975129204,3.639586889,4.079887775,4.809015699,3.342661395,3.69815832,3.999646712
200,4.021465655,4.17369487,3.98808792,3.451204229,3.778861879,3.95745108,3.548711216,4.202253077,4.627048474,3.376578454,3.648173136,4.007594646
201,4.060974826,4.217607474,4.033565238,3.549535581,3.676705099,3.930026182,3.485611956,4.241464465,4.516281218,3.334758824,3.784684713,3.986681721
202,4.123210369,4.244387664,3.845599528,3.778861879,3.633074125,3.934675761,3.436735017,4.17369487,4.484449053,3.275422751,3.891618652,3.978939675
203,4.232617461,4.223651929,3.761083071,3.834928604,3.59028603,3.975129204,3.541245869,4.087305785,4.504520882,3.269189193,3.784684713,3.974458343
204,4.385835936,4.137049633,3.784684713,3.801855254,3.647461808,3.948433753,3.645323277,3.408859099,4.550370817,3.616136593,3.634526893,3.986400126
205,4.478308201,4.045449932,3.881662179,3.73661851,3.704723817,3.866444086,3.587178077,4.049365051,4.48851187,3.655245134,3.548711216,3.989612221
206,4.465854813,4.029556302,3.824084762,3.724042454,3.761083071,4.017383352,3.541245869,4.313602222,4.50055439,3.630159092,3.544574086,3.999596504
207,4.344443121,4.083607059,3.807482241,3.840285335,3.856102963,4.163898064,3.558537204,3.881662179,4.516281218,3.755050266,3.486517779,4.000963325
208,4.264500149,4.196011298,3.784684713,3.970753261,3.930026182,4.211507926,3.64317789,4.094642468,4.601883048,3.73661851,3.433803251,3.987084707
209,4.286769198,4.214564649,3.850871852,4.057127237,3.886658932,4.123210369,3.772987936,4.076147705,4.659194696,3.724042454,3.540411221,3.984194474
210,4.359346442,4.068604267,3.934675761,4.041511773,3.772987936,4.170445177,3.876627836,4.094642468,4.752772322,3.761083071,3.807482241,4.054663524
211,4.424816891,3.952957605,4.037550301,3.952957605,3.686175618,4.211507926,3.948433753,4.199139465,4.805241491,3.796180552,4.009143269,4.062878936
212,4.463756529,3.886658932,3.896541884,3.840285335,3.704723817,4.176928857,3.871555332,4.112639806,4.817740276,3.790457317,4.053257398,4.040083617
213,4.480361419,3.975129204,3.834928604,3.818596228,3.637423003,4.133616555,3.742819007,4.049365051,4.762256462,3.724042454,3.925344072,4.07733898
214,4.646520902,4.112639806,3.915880414,3.939293257,3.587956419,4.101899588,3.755050266,4.079887775,4.677766395,3.748962581,3.784684713,4.058542505
215,4.617095576,4.101899588,3.95745108,3.930026182,3.636700149,4.229642276,3.801855254,4.025523206,4.617095576,3.824084762,3.742819007,4.051064201
216,4.502540575,3.99658972,3.95745108,3.73661851,3.767061976,4.48851187,3.881662179,4.041511773,4.520155847,3.676023477,3.73661851,4.050878204
217,4.411316677,3.925344072,3.934675761,3.650302594,3.876627836,4.339400668,3.920628972,4.083607059,4.494560218,3.640306632,3.796180552,4.055120024
218,4.448881387,3.983796169,3.952957605,3.679424665,3.925344072,4.267324644,3.939293257,4.068604267,4.465854813,3.55772386,3.761083071,4.04016632
219,4.356885491,4.137049633,3.925344072,3.73661851,3.95745108,4.189710752,3.881662179,4.250196033,4.457421912,3.552002602,3.934675761,4.042883942
220,4.418100827,4.14724444,3.829528647,3.755050266,3.920628972,4.232617461,3.772987936,4.098280865,4.496564247,3.648173136,4.021465655,4.050151153
221,4.446729115,4.076147705,4.476248663,3.845599528,3.871555332,4.157286263,3.717664674,4.076147705,4.496564247,3.678066264,3.98808792,4.053419572
222,4.344443121,4.037550301,4.284025757,3.906281002,3.834928604,4.068604267,3.704723817,4.638476136,4.422585684,3.667789396,3.920628972,4.041488192
223,4.20535227,4.041511773,4.009143269,3.834928604,3.717664674,4.049365051,3.648883708,4.331765023,4.427040684,3.651718477,3.876627836,4.014596775
224,4.167179627,4.160600329,3.834928604,3.801855254,3.724042454,4.079887775,3.582488915,4.189710752,4.478308201,3.620596575,3.911097921,4.002852212
225,4.163898064,4.261663681,3.711225526,3.796180552,3.818596228,4.183350321,3.504381418,4.133616555,4.451026758,3.580131955,3.925344072,3.999276339
226,4.137049633,4.126697109,3.635976515,3.711225526,3.871555332,4.294932678,3.432823134,4.180147292,4.448881387,3.499960014,3.829528647,3.994897979
227,4.087305785,3.98808792,3.591060768,3.64317789,3.906281002,4.341926644,3.448335306,4.294932678,4.448881387,3.468164179,3.772987936,4.017108273
228,4.112639806,3.95745108,3.717664674,3.546232008,3.906281002,4.326625757,3.467233152,4.356885491,4.486483545,3.466300827,4.013275993,4.011206653
